Internal ID,Name,E-Document Template,XPath,RegEx Validation Expression,Script ID
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/@Version,/\S/,VAL_61642_T2220345_363
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/@Fecha,/\S/,VAL_61643_T2220345_506
12,ProFact outbound cash sale template,ProFact outbound cash sale template,//cfdi:Concepto/@Cantidad,/\S/,VAL_61658_T2220345_661
12,ProFact outbound cash sale template,ProFact outbound cash sale template,//cfdi:Concepto/@ClaveProdServ,/\S/,VAL_61657_T2220345_877
12,ProFact outbound cash sale template,ProFact outbound cash sale template,//cfdi:Concepto/@ClaveUnidad,/\S/,VAL_61656_T2220345_659
12,ProFact outbound cash sale template,ProFact outbound cash sale template,//cfdi:Concepto/@Importe,/\S/,VAL_61655_T2220345_464
12,ProFact outbound cash sale template,ProFact outbound cash sale template,//cfdi:Concepto/@Descripcion,/\S/,VAL_61654_T2220345_513
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/cfdi:Receptor/@UsoCFDI,/\S/,VAL_61653_T2220345_851
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/cfdi:Receptor/@Rfc,/\S/,VAL_61652_T2220345_882
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/cfdi:Emisor/@RegimenFiscal,/\S/,VAL_61651_T2220345_949
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/cfdi:Emisor/@Rfc,/\S/,VAL_61650_T2220345_113
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/@LugarExpedicion,/\S/,VAL_61649_T2220345_743
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/@TipoDeComprobante,/\S/,VAL_61648_T2220345_477
12,ProFact outbound cash sale template,ProFact outbound cash sale template,cfdi:Comprobante/@Total,/\S/,VAL_61647_T2220345_624
